Date,Name,Price Paid,Pricing Mechanism,Description,Transaction Type,FDIC Number,OTS Number,Type of Institution,Total Assets (Q4 2008),Regulator,City,State,Stock Symbol,Program,Warrant Strike Price,Warrant Received,Stock Price (as of close 2009-06-04),In/Out of Money (as of close 2009-06-04),Subsidy Rate Estimate (percentage),Subsidy Rate Estimate Date,Subsidy Rate Estimate Source
2009-04-24,GRAND CAPITAL CORPORATION,4000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1065967,,holding company,253768000.00,,Tulsa,OK,,CPP,,,,,,,
2009-04-24,INDIANA BANK CORP.,1312000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3390935,,holding company,64454000.00,,Dana,IN,,CPP,,,,,,,
2009-04-24,MACKINAC FINANCIAL CORPORATION,11000000.00,Par,Preferred Stock w/Warrants,Purchase,1123933,,holding company,452006000.00,,Manistique,MI,,CPP,,,,,,,
2009-04-24,Vision Bank - Texas,1500000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,58447,,bank,64411000.00,FDIC,Richardson,TX,,CPP,,,,,,,
2009-04-24,York Traditions Bank,4871000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,57377,,bank,188095000.00,FDIC,York,PA,,CPP,,,,,,,
2009-04-22,First ULB Corp.,-4900000.00,Par,Preferred Stock w/ Exercised Warrants,Repayment,,H1884,thrift holding company,247050000.00,,Oakland,CA,,CPP,,,,,,,
2009-04-22,General Motors Corporation,2000000000.00,,Debt Obligation w/Additional Note,Purchase,,,auto company,91047000000.00,,Detroit,MI,GM,AIFP,,,0.75,,,,
2009-04-22,Independent Bank Corp.,-75158000.00,Par,Preferred Stock w/Warrants,Repayment,1136803,,holding company,3633478000.00,Federal Reserve,Rockland,MA,INDB,CPP,,,21.75,,,,
2009-04-22,TCF Financial Corporation,-361172000.00,Par,Preferred Stock w/Warrants,Repayment,2389941,,holding company,16792522000.00,Federal Reserve,Wayzata,MN,TCB,CPP,,,13.71,,,,
2009-04-20,Wilshire Credit Corporation,366000000.00,N/A,Financial Instrument for Home Loan Modifications,Purchase,,,mortgage company,,,Beaverton,OR,,HAMP,,,,,,,
2009-04-17,AIG,29835000000.00,Par,Preferred Stock w/Warrants,Purchase,,H2984,thrift holding company,1268362000000.00,,New York,NY,AIG,CPP,,,1.64,,,,
2009-04-17,Bank of the Carolinas,13179000.00,Par,Preferred Stock w/Warrants,Purchase,34903,,bank,563042000.00,FDIC,Mocksville,NC,,CPP,,,,,,,
2009-04-17,BNB FINANCIAL SERVICES CORPORATION,7500000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1398973,,holding company,315577000.00,,New York,NY,,CPP,,,,,,,
2009-04-17,Countrywide Home Loans Servicing LP,1864000000.00,,Financial Instrument for Home Loan Modification,Purchase,,,mortgage company,,,Simi Valley,CA,,HAMP,,,,,,,
2009-04-17,OMEGA CAPITAL CORP.,2816000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3559198,,holding company,128062000.00,,Centennial,CO,,CPP,,,,,,,
